,system,nb-faults,workload,op avg,op std,op min,op 1th,op 5th,op 10th,op 25th,op 50th,op 75th,op 90th,op 95th,op 99th,op max,lat avg,lat std,lat min,lat 1th,lat 5th,lat 10th,lat 25th,lat 50th,lat 75th,lat 90th,lat 95th,lat 99th,lat max
0,cc-hotstuff,threshold,20432000.0,15385674.418604651,4040686.8384663137,6840000,7210000.0,7210000.0,7250000.0,17270000.0,17360000,17480000.0,17500000.0,17523000.0,17540000.0,17540000,7180.785392245266,772.7671747253837,4706,5034.4400000000005,5769.4,6140.8,6989.0,7103.0,7708.0,8009.0,8088.199999999999,9540.0,10107
1,cc-hotstuff,1,44432000.0,42556825.396825396,414640.88649315166,39880000,41038000.0,41567000.0,42284000.0,42380000.0,42660000,42770000.0,42860000.0,42900000.0,43417400.00000001,43710000,6717.455817378498,1153.5018204646237,4707,5021.85,5335.0,5484.1,5861.0,6567.0,7228.0,8175.6,8949.0,10459.43,15875
