,system,workload,op avg,lat avg,lat std,lat min,lat 1th,lat 5th,lat 10th,lat 25th,lat 50th,lat 75th,lat 90th,lat 95th,lat 99th,lat max
0,bftsmart,1000,916.36,444.7761178285099,81.13295252237887,268.0,306.0,321.0,337.0,377.0,444.0,510.0,550.0,563.0,596.0,1110.0
1,bftsmart,1200,1097.3466666666666,445.08043644670175,81.44895919259706,269.0,307.0,322.0,337.0,378.0,444.0,510.0,550.0,563.0,595.0,1141.0
2,bftsmart,1400,1277.2833333333333,447.6774769367277,82.35655473468407,269.0,308.0,323.0,339.0,380.0,447.0,513.0,553.0,567.0,610.0,1099.0
3,bftsmart,1500,1396.4066666666665,529.9497173698206,320.4324686289699,268.0,309.0,327.0,344.0,390.0,465.0,539.0,710.0,1019.0,2134.0,4187.0
4,bftsmart,1600,1409.4566666666665,4458.995339811795,3697.407261840496,268.0,327.0,373.0,424.0,570.0,3790.0,7662.0,10081.0,10911.0,11606.0,12203.0
5,bftsmart,1700,1407.4766666666667,6470.518899069967,4952.356917429407,270.0,332.0,405.0,484.0,1435.0,5958.0,10779.0,13764.0,14779.0,15628.0,16372.0
6,bftsmart,1800,1406.75,10021.85957230022,6448.778930483448,268.0,568.0,1247.0,2060.0,4471.0,8825.0,15484.0,19758.0,21224.0,22414.0,23043.0
