,system,workload,op avg,lat avg,lat std,lat min,lat 1th,lat 5th,lat 10th,lat 25th,lat 50th,lat 75th,lat 90th,lat 95th,lat 99th,lat max
0,bullshark,2000000,1951409.8,3680.997934170112,2211.7786035281274,634.0000629425049,1434.51997756958,1630.000114440918,1776.0000228881836,2228.9998531341553,2722.0001220703125,4785.0000858306885,7164.000034332275,7959.2000484466525,11470.16001701355,14463.99998664856
1,bullshark,3000000,2933536.4,3484.50239886363,1932.1123398037234,736.9999885559082,1453.9999961853027,1624.000072479248,1775.0000715255737,2213.7500047683716,2655.9998989105225,4273.999989032745,6895.099973678589,7704.999935626984,8519.459977149963,12212.999820709229
2,bullshark,4000000,3820768.0,3659.8052851907682,2094.1516023618988,712.0001316070557,1489.1400718688965,1674.9999523162842,1856.0001850128174,2311.499834060669,2790.9998893737793,4470.999956130981,7088.400030136108,7953.5000562667865,10390.179958343537,14174.000024795532
3,bullshark,5000000,3753307.6,7856.666362847088,8933.810502318027,927.9999732971191,1579.0599966049194,1761.2999200820923,1968.9999103546143,2477.4999618530273,3368.99995803833,8478.49988937378,23198.799943924,31301.700019836426,35736.85998916626,41021.000146865845
4,bullshark,6000000,3617607.8,15420.419269630369,16728.751563258844,866.0001754760742,1582.9600620269775,1710.4000091552734,1928.7999629974365,2464.9999141693115,3470.0000286102295,33557.000160217285,41467.199993133545,44331.60004615782,50279.59988594055,58384.000062942505
5,bullshark,7000000,3507678.0,25439.24818675646,24409.027169473036,884.9999904632568,1597.3299384117126,1782.2999596595764,2138.6000394821167,2650.2500772476196,11575.999975204468,49258.250057697296,60535.199999809265,67667.19989776611,74751.01008653641,78480.00001907349
6,bullshark,8000000,3659335.6,24685.063898677643,22978.973662985656,861.0000610351562,1449.290099143982,1768.4500932693481,1958.8001012802124,2467.5000309944153,20349.500060081482,43773.75012636185,54312.50002384186,66660.39997339249,74960.75012445451,87072.99995422363
