,system,input,output rate op avg,output rate op std,output rate op min,output rate op 1th,output rate op 5th,output rate op 10th,output rate op 25th,output rate op 50th,output rate op 75th,output rate op 90th,output rate op 95th,output rate op 99th,output rate op max,output rate B avg,output rate B std,output rate B min,output rate B 1th,output rate B 5th,output rate B 10th,output rate B 25th,output rate B 50th,output rate B 75th,output rate B 90th,output rate B 95th,output rate B 99th,output rate B max,goodput ratio avg,goodput ratio std,goodput ratio min,goodput ratio 1th,goodput ratio 5th,goodput ratio 10th,goodput ratio 25th,goodput ratio 50th,goodput ratio 75th,goodput ratio 90th,goodput ratio 95th,goodput ratio 99th,goodput ratio max,goodput rate op avg,goodput rate op std,goodput rate op min,goodput rate op 1th,goodput rate op 5th,goodput rate op 10th,goodput rate op 25th,goodput rate op 50th,goodput rate op 75th,goodput rate op 90th,goodput rate op 95th,goodput rate op 99th,goodput rate op max,goodput rate B avg,goodput rate B std,goodput rate B min,goodput rate B 1th,goodput rate B 5th,goodput rate B 10th,goodput rate B 25th,goodput rate B 50th,goodput rate B 75th,goodput rate B 90th,goodput rate B 95th,goodput rate B 99th,goodput rate B max
0,cc-hotstuff,10432000.0,11031022.677006029,122959.519278759,10182524.127507625,10837357.84006527,10894259.906579081,10896256.152533866,10935659.109070431,11075279.333952181,11120353.595244348,11146313.097119894,11155148.154559577,11175830.910296232,11201418.944093978,126856760.78556922,1414034.4717057284,117099027.4663377,124629615.16075061,125283988.92565943,125306945.75413945,125760079.75430995,127365712.34045008,127884066.34530999,128182600.61687878,128284203.77743512,128522055.46840668,128816317.85708074,0.9023013344569881,0.0012877033388741825,0.8963150159912245,0.8987298839062376,0.9005001450284369,0.900863952593426,0.9012476032787897,0.902629062618094,0.9033551409938583,0.9038075237826123,0.9040223129371234,0.9041590115144775,0.904213429246018,9953250.0,106651.0079652321,9180000.0,9791900.0,9850000.0,9850000.0,9860000.0,10000000.0,10032500.0,10040000.0,10040000.0,10070000.0,10080000.0,114462375.0,1226486.5916001692,105570000.0,112606850.0,113275000.0,113275000.0,113390000.0,115000000.0,115373750.0,115460000.0,115460000.0,115805000.0,115920000.0
1,cc-hotstuff,20432000.0,21427687.28260938,270364.2326498842,20926127.258962277,20966205.008187205,20978095.56378854,20990425.370752994,21355009.81188961,21420960.605868854,21530656.310770433,21825558.058768827,21830698.019445878,21846584.761708163,23214106.477087095,246418403.75000787,3109188.675473668,240650463.47806618,241111357.59415284,241248098.9835682,241389891.76365945,245582612.83673054,246341046.9674918,247602547.57386,250993917.67584154,251053027.22362763,251235724.75964388,266962224.4865016,0.8998267488677267,0.0048718296507707474,0.8193294029547602,0.8954397422831405,0.8973415138534631,0.8979523083870949,0.8986696917642205,0.8998109244046202,0.9016682012590385,0.9027462994131903,0.9032856499190922,0.9034376092405494,0.9034777264383261,19280406.25,198771.596212682,18870000.0,18931900.0,18950000.0,18950000.0,19260000.0,19270000.0,19330000.0,19620000.0,19620000.0,19620000.0,19630000.0,221724671.875,2285873.356445843,217005000.0,217716850.0,217925000.0,217925000.0,221490000.0,221605000.0,222295000.0,225630000.0,225630000.0,225630000.0,225745000.0
2,cc-hotstuff,30432000.0,31908963.560441732,438510.9888536572,30656519.050345317,31361915.4053183,31409022.118067726,31427976.082950786,31522314.371667057,31792727.54236348,32159893.87004604,32640187.4096952,32741517.648700867,32817707.032073684,32850455.618521877,366953080.9450803,5042876.371817058,352549969.07897115,360662027.16116047,361203754.35777885,361421724.953934,362506615.2741711,365616366.73718005,369838779.5055294,375362155.21149486,376527452.96006,377403630.86884737,377780239.6130016,0.9003227925934519,0.0025050866312785157,0.8912584639881459,0.8932465876733414,0.8952995145980962,0.8970627524548077,0.8993945000321208,0.9005746255618183,0.902306399746347,0.9033082631154098,0.9038565427806255,0.9040743917358603,0.9046938267605094,28728375.0,403289.42383231426,27470000.0,28300000.0,28300000.0,28310000.0,28350000.0,28650000.0,29062500.0,29361000.0,29470500.0,29560000.0,29590000.0,330376312.5,4637828.374071614,315905000.0,325450000.0,325450000.0,325565000.0,326025000.0,329475000.0,334218750.0,337651500.0,338910750.0,339940000.0,340285000.0
3,cc-hotstuff,40432000.0,41840081.77296566,225271.71808374586,40838461.76316939,41265405.51049693,41575319.8699241,41649587.6118937,41740733.58517046,41831913.65352593,41902683.123112574,42065445.14549573,42144354.605416425,42711090.93728541,43010683.08561559,481160940.38910496,2590624.7579630776,469642310.276448,474552163.37071466,478116178.50412714,478970257.5367775,480018436.22946036,481067007.0155483,481880855.9157947,483752619.17320085,484660077.96228886,491177545.7787822,494622855.48457927,0.9059818009702945,0.0032758048075322444,0.8837339301107726,0.8930952479672681,0.9002057651867769,0.9028222161866689,0.9053146642262774,0.9068183601975975,0.9076249610856485,0.9089935392688888,0.9096023803291671,0.9099860572717148,0.9103758378881711,37905968.75,176630.7915495979,36930000.0,37172300.0,37620000.0,37759000.0,37850000.0,37930000.0,38010000.0,38010000.0,38010000.0,38358300.0,38710000.0,435918640.625,2031254.1028203757,424695000.0,427481450.0,432630000.0,434228500.0,435275000.0,436195000.0,437115000.0,437115000.0,437115000.0,441120450.0,445165000.0
4,cc-hotstuff,50432000.0,52883335.65842433,1552507.1470001193,50291245.501326725,51170527.005919494,51532429.183648586,51677427.74534895,51919173.748117454,52708616.63050685,53146191.44123441,53835255.950029016,54351528.363841206,60018122.628752686,63261047.609008595,608158360.07188,17853832.190501373,578349323.2652574,588461060.5680741,592622935.6119587,594290419.0715129,597070498.1033508,606149091.2508287,611181201.5741957,619105443.4253337,625042576.1841738,690208410.2306559,727502047.5035988,0.8702235991173201,0.035107054989103194,0.5864588305476754,0.6747907840199878,0.8507727032852185,0.8563521299625227,0.8672367220412587,0.8773368339810222,0.8856129913500336,0.8942321456358636,0.8950558580830404,0.8957986889203173,0.8965744382086192,45969375.0,969432.9447543033,37100000.0,39974300.0,45097000.0,45569000.0,45880000.0,46100000.0,46352500.0,46520000.0,46590000.0,46660000.0,47000000.0,528647812.5,11148478.864674486,426650000.0,459704450.0,518615500.0,524043500.0,527620000.0,530150000.0,533053750.0,534980000.0,535785000.0,536590000.0,540500000.0
5,cc-hotstuff,60432000.0,54846079.2575937,2804241.4087879793,51251063.81715283,51367229.33465844,51522952.10465233,51581451.98895956,51954055.018495955,56670463.04746656,56883153.65976511,57134797.29700779,57770248.56809577,62335828.82476913,65968591.806450285,630729911.4623275,32248776.201061763,589387233.8972576,590723137.348572,592513949.2035018,593186697.873035,597471632.7127035,651710325.0458654,654156267.0872988,657050168.9155896,664357858.5331013,716862031.4848452,758638805.7741783,0.5631067712786298,0.015566387753836373,0.4943261498695726,0.5187059387789961,0.5437514508609711,0.5474391744885319,0.5529996926384481,0.5549171779947509,0.5776035951914007,0.5785978002816681,0.5792821841502891,0.5795769866301486,0.5798682354808363,30905284.55284553,2119366.880919924,28270000.0,28331000.0,28422000.0,28490000.0,28705000.0,32610000.0,32850000.0,32907999.999999996,32970000.0,33479999.999999993,36080000.0,355410772.3577236,24372719.13057913,325105000.0,325806500.0,326853000.0,327635000.0,330107500.0,375015000.0,377775000.0,378441999.99999994,379155000.0,385020000.0,414920000.0
