,system,workload,op avg,lat avg,lat std,lat min,lat 1th,lat 5th,lat 10th,lat 25th,lat 50th,lat 75th,lat 90th,lat 95th,lat 99th,lat max
0,hotstuff,1000,960.6200000000001,1616.6455206012783,120.77049565037161,1374.0,1405.0,1427.0,1449.0,1514.0,1618.0,1718.0,1778.0,1801.0,1853.0,2060.0
1,hotstuff,1200,1153.3333333333333,1381.0680332369943,101.76901249749682,1174.0,1203.0,1221.0,1240.0,1295.0,1382.0,1466.0,1516.0,1536.0,1589.0,1806.0
2,hotstuff,1400,1343.6583333333333,1212.0251527235966,88.49880533909646,1033.0,1058.0,1072.0,1090.0,1138.0,1212.0,1285.0,1328.0,1345.0,1400.0,1629.0
3,hotstuff,1500,1473.3333333333333,1124.3510113122172,82.10465473723299,961.0,981.0,996.0,1012.0,1057.0,1124.0,1191.0,1231.0,1246.0,1304.0,1588.0
4,hotstuff,1600,1600.0,1066.7449625,87.64040054653404,902.0,919.0,934.0,951.0,998.0,1065.0,1128.0,1173.0,1218.0,1300.0,1569.0
5,hotstuff,1700,1613.0566666666668,2959.0372563890087,984.3295242625693,1122.0,1266.0,1441.0,1610.0,2104.0,2973.0,3787.0,4283.0,4505.0,4784.0,9169.0
6,hotstuff,1800,1612.6766666666667,7017.271090712542,3350.567918695524,1121.0,1349.0,1807.0,2383.0,4113.0,7012.0,9915.0,11654.0,12232.0,12780.0,13477.0
