,system,nb-faults,workload,op avg,op std,op min,op 1th,op 5th,op 10th,op 25th,op 50th,op 75th,op 90th,op 95th,op 99th,op max,lat avg,lat std,lat min,lat 1th,lat 5th,lat 10th,lat 25th,lat 50th,lat 75th,lat 90th,lat 95th,lat 99th,lat max
0,cc-bftsmart,threshold,20432000.0,17454837.209302325,1210427.5033809538,0,17180000.0,17180000.0,17180000.0,17390000.0,17630000,17680000.0,17750000.0,17810000.0,17820000.0,17820000,3976.172102358254,937.3617480181878,1814,2059.2,2382.0,2654.0,3171.0,4192,4605.0,4861.0,5122.0,6492.0,7689
1,cc-bftsmart,1,44432000.0,42132793.65079365,529046.8865929142,39500000,39840000.0,40894000.0,41434000.0,42190000.0,42290000,42420000.0,42500000.0,42523000.0,42540000.0,42680000,4596.328101265823,1762.6061902676424,1775,2034.92,2379.0,2716.0,3507.5,4075,5606.0,6922.000000000005,8060.0,10821.0,12438
