,system,workload,op avg,lat avg,lat std,lat min,lat 1th,lat 5th,lat 10th,lat 25th,lat 50th,lat 75th,lat 90th,lat 95th,lat 99th,lat max
0,bullshark-sig,100000,96158.2,3625.0191561490487,2205.3364424536057,628.000020980835,1390.9198188781738,1595.9999561309814,1747.2002029418945,2207.0000171661377,2674.999952316284,4552.000045776367,7153.5998344421405,7981.40001296997,11425.15995979309,14463.99998664856
1,bullshark-sig,200000,192321.2,3394.2059079291957,1887.9428215014802,622.999906539917,1390.5000686645508,1592.9999351501465,1745.4999685287476,2151.7499685287476,2605.0000190734863,4083.0000042915344,6749.4999170303345,7569.500029087067,8377.250015735626,11750.0
2,bullshark-sig,300000,292349.0,3531.3030205964146,2021.6417352358949,724.0002155303955,1437.999963760376,1671.0000038146973,1821.2000370025635,2227.9999256134033,2693.000078201294,4319.000005722046,6936.999988555908,7805.5999994277945,9078.979997634888,14267.000198364258
3,bullshark-sig,400000,378816.4,3446.6070714935013,1754.8554605616775,966.0000801086426,1638.7699556350708,1926.8500566482544,2035.9999418258667,2323.9998817443848,2872.499942779541,3566.749930381775,6468.599891662598,7668.449985980986,8527.299854755398,13317.000150680542
4,bullshark-sig,600000,296860.6,33998.24185564925,16113.174138472057,4078.000068664551,4415.890047550201,8339.649987220764,12665.100073814394,22608.749985694885,32547.00005054474,45530.75009584427,57022.39990234376,62674.14988279342,69210.80990552902,77601.0000705719
5,bullshark-sig,800000,284599.8,48102.45951676745,16032.418016367414,11367.000102996826,13064.13008928299,23417.400085926056,27545.600032806396,37828.000128269196,47294.49999332428,59399.99997615814,70296.0000038147,75177.39986181259,80756.98015928267,85960.99996566772
6,bullshark-sig,1000000,326764.0,60993.927638672816,15939.406349320092,19819.999933242798,21525.83997964859,33242.29984283447,36636.69984340668,49537.250101566315,64279.00004386902,73018.24986934662,79268.19999217987,82290.99999666214,87266.78997278212,92282.9999923706
