,system,workload,op avg,lat avg,lat std,lat min,lat 1th,lat 5th,lat 10th,lat 25th,lat 50th,lat 75th,lat 90th,lat 95th,lat 99th,lat max,output rate op avg,output rate B avg,goodput ratio avg,goodput rate op avg,goodput rate B avg
0,bullshark-sig,100000,95837.8,4044.5201972620207,2609.109842464655,705.9998512268066,1405.3399467468262,1659.700107574463,1822.0000267028809,2273.0000019073486,2834.9997997283936,5553.499937057495,7684.000015258789,9177.299976348862,12946.299996376038,17063.999891281128,931358.7826086957,10710626.0,0.10290213391448018,95837.8,1102134.7
1,bullshark-sig,200000,192280.0,3904.731816731133,2355.432088226815,680.9999942779541,1424.9999523162842,1648.8999366760254,1816.7999267578125,2287.999987602234,2840.9998416900635,5330.499887466431,7394.000053405762,8192.400145530703,12092.19993591307,14842.000007629395,1802455.286956522,20728235.8,0.10667725932102594,192280.0,2211220.0
2,bullshark-sig,300000,292214.0,3585.671374428603,1963.5068470036301,598.9999771118164,1457.0000171661377,1701.0001182556152,1847.0001220703125,2250.0,2746.999979019165,4667.999982833862,6964.799928665162,7780.399942398071,8498.47996711732,12355.999946594238,2709593.5304347826,31160325.6,0.10784437317788224,292214.0,3360461.0
3,bullshark-sig,400000,377950.4,3745.7653098544647,1931.2126323911552,1003.000020980835,1684.999942779541,1947.9999542236328,2063.000202178955,2391.0000324249268,2977.9999256134033,4624.000072479248,7127.200078964233,7984.1999769210815,8631.420011520386,13575.999975204468,3581665.0782608697,41189148.4,0.10552456547502018,377950.4,4346429.6
4,bullshark-sig,600000,313185.8,36634.07676677986,15447.999555271694,2442.000150680542,4363.710103034973,10245.40001153946,15915.10009765625,26532.750129699707,36099.49994087219,46995.750069618225,56923.79996776581,63258.700108528115,71881.36007547379,81811.00010871887,5288010.591304349,60812121.8,0.059224873993420225,313185.8,3601636.7
5,bullshark-sig,800000,290393.2,54358.33973754675,16642.01073822453,3046.999931335449,13066.279907226562,22895.800137519836,30317.799949645996,45068.25000047684,55895.49994468689,64943.74984502792,73891.29993915558,80083.85006189342,90251.42996788023,97261.99984550476,6428314.139130435,73925612.6,0.04517794559536907,290393.2,3339521.8
