,system,workload,op avg,op std,op min,op 1th,op 5th,op 10th,op 25th,op 50th,op 75th,op 90th,op 95th,op 99th,op max,lat avg,lat std,lat min,lat 1th,lat 5th,lat 10th,lat 25th,lat 50th,lat 75th,lat 90th,lat 95th,lat 99th,lat max
0,cc-bftsmart,432000.0,430000.0,0.0,430000,430000.0,430000.0,430000.0,430000.0,430000.0,430000.0,430000.0,430000.0,430000.0,430000,2992.1825396825398,485.26089073413874,1656,2100.4700000000003,2430.9,2550.0,2657.0,2838.5,3325.0,3682.1,3931.0,4132.589999999998,5480
1,cc-bftsmart,10432000.0,10407937.5,22599.692337507608,10340000,10340000.0,10350000.0,10380000.0,10400000.0,10420000.0,10420000.0,10430000.0,10430000.0,10440000.0,10440000,3079.410883023786,501.08910998688094,1515,2021.12,2493.0,2615.0,2667.0,2899.0,3547.0,3708.2000000000003,3930.0,4094.920000000001,5381
2,cc-bftsmart,20432000.0,20397968.75,23276.84522089495,20270000,20340000.0,20360000.0,20370000.0,20380000.0,20400000.0,20410000.0,20430000.0,20440000.0,20450000.0,20460000,3093.7770847012475,533.3031779326624,1670,2098.55,2470.5,2623.0,2668.0,2899.0,3552.0,3747.0,3939.25,4629.55,6366
3,cc-bftsmart,30432000.0,30374031.25,51091.207887830366,30120000,30247600.0,30300000.0,30310000.0,30330000.0,30390000.0,30410000.0,30420000.0,30430000.0,30468100.0,30600000,3082.934619156587,490.9386306917952,1592,2106.58,2491.9,2642.0,2679.0,2906.0,3506.5,3726.0,3920.2999999999997,4135.360000000001,5131
4,cc-bftsmart,40432000.0,40061750.0,298263.83035829203,38550000,39315700.0,39639000.0,39689000.0,39820000.0,40180000.0,40330000.0,40380000.0,40410500.0,40430000.0,40440000,3336.648418059012,522.7685138273168,1520,2032.8400000000001,2569.6000000000004,2673.0,2883.0,3488.0,3682.0,3918.0,3999.4,4516.000000000008,6825
5,cc-bftsmart,45432000.0,43863125.0,938776.9220507074,39110000,39270800.0,41720000.0,43238000.0,43895000.0,44140000.0,44300000.0,44500000.0,44540000.0,44578100.0,44610000,3615.0252525252527,647.9360505674432,1597,2024.4900000000002,2581.0,2767.0,3263.25,3642.0,3960.0,4396.500000000004,4610.35,5459.969999999999,7035
6,cc-bftsmart,46432000.0,44188906.25,1608895.8919740387,35840000,37170800.0,39775500.0,43579000.0,44477500.0,44660000.0,44850000.0,44901000.0,44960500.0,45038100.0,45050000,3706.9885239414325,723.4731215496167,1672,2063.52,2597.6000000000004,2855.0,3300.0,3657.0,4015.5,4602.0,4946.0,5856.74,7079
7,cc-bftsmart,47432000.0,44325000.0,2260975.314991298,35300000,36025200.0,37137500.0,41664000.0,44880000.0,45140000.0,45260000.0,45300000.0,45340000.0,45378100.0,46060000,3911.16512605042,990.1773561756335,1516,2087.0,2513.95,2723.8999999999996,3329.0,3766.5,4329.0,5167.0,5778.099999999999,7091.0,10150
8,cc-bftsmart,48432000.0,44145956.11285266,2705335.7722669374,32460000,33728400.0,36145000.0,40106000.0,44800000.0,45000000.0,45260000.0,45380000.0,45401000.0,45468200.0,46050000,4610.695652173913,1840.3013058328397,1665,1942.6399999999999,2429.35,2715.3,3471.0,4088.0,5556.0,6936.0,8067.5999999999885,11140.170000000002,13705
