,system,input,output rate op avg,output rate op std,output rate op min,output rate op 1th,output rate op 5th,output rate op 10th,output rate op 25th,output rate op 50th,output rate op 75th,output rate op 90th,output rate op 95th,output rate op 99th,output rate op max,output rate B avg,output rate B std,output rate B min,output rate B 1th,output rate B 5th,output rate B 10th,output rate B 25th,output rate B 50th,output rate B 75th,output rate B 90th,output rate B 95th,output rate B 99th,output rate B max,goodput ratio avg,goodput ratio std,goodput ratio min,goodput ratio 1th,goodput ratio 5th,goodput ratio 10th,goodput ratio 25th,goodput ratio 50th,goodput ratio 75th,goodput ratio 90th,goodput ratio 95th,goodput ratio 99th,goodput ratio max,goodput rate op avg,goodput rate op std,goodput rate op min,goodput rate op 1th,goodput rate op 5th,goodput rate op 10th,goodput rate op 25th,goodput rate op 50th,goodput rate op 75th,goodput rate op 90th,goodput rate op 95th,goodput rate op 99th,goodput rate op max,goodput rate B avg,goodput rate B std,goodput rate B min,goodput rate B 1th,goodput rate B 5th,goodput rate B 10th,goodput rate B 25th,goodput rate B 50th,goodput rate B 75th,goodput rate B 90th,goodput rate B 95th,goodput rate B 99th,goodput rate B max
0,cc-bftsmart,10432000.0,10756546.690675138,78629.55085675692,10616888.652593302,10622763.162233412,10661940.123050123,10679597.099407876,10689468.454475174,10717647.661418233,10840908.54198664,10866001.411080506,10876842.92097132,10907386.402732603,10931797.789428439,123700286.94276412,904239.8348527043,122094219.50482297,122161776.36568427,122612311.41507642,122815366.64319056,122928887.22646451,123252948.10630968,124670448.23284638,124959016.2274258,125083693.59117018,125434943.63142493,125715674.57842705,0.9302299793070491,0.0019776590949277407,0.9176857198185178,0.9262777509741472,0.9273317341331279,0.9280536516317615,0.9289737871249417,0.9303737480315917,0.9315410158231041,0.9326444158400066,0.9328780261621626,0.9332692673417994,0.9335678491477652,10006062.5,76236.44859088073,9910000.0,9910000.0,9930000.0,9930000.0,9940000.0,9960000.0,10090000.0,10110000.0,10120000.0,10120000.0,10120000.0,115069718.75,876719.1587951283,113965000.0,113965000.0,114195000.0,114195000.0,114310000.0,114540000.0,116035000.0,116265000.0,116380000.0,116380000.0,116380000.0
1,cc-bftsmart,20432000.0,21054237.74750852,169037.12809045755,20639927.592877172,20851509.315333366,20862718.336325303,20876221.10699482,20905375.953793533,20967582.24082454,21223119.011920378,21279624.766165797,21299174.453238826,21352775.516989086,21371041.14266695,242123734.09634757,1943926.9730402615,237359167.3180875,239792357.1263337,239921260.867741,240076542.7304404,240411823.4686256,241127195.7694822,244065868.6370843,244715684.81090668,244940506.21224648,245556918.4453745,245766973.14066994,0.9302763024172078,0.001706376620556278,0.9162700133132099,0.9271820487905884,0.9283582453581873,0.9288257358349074,0.9296159690968776,0.9303039627068537,0.9312110918931011,0.931806628478685,0.9320642852542823,0.9321983466705295,0.9323832048414552,19586250.0,160320.96712532642,19220000.0,19420000.0,19420000.0,19430000.0,19440000.0,19500000.0,19760000.0,19800000.0,19800000.0,19830000.0,19840000.0,225241875.0,1843691.121941254,221030000.0,223330000.0,223330000.0,223445000.0,223560000.0,224250000.0,227240000.0,227700000.0,227700000.0,228045000.0,228160000.0
2,cc-bftsmart,30432000.0,31278559.608320467,202122.61817699863,30440933.76537359,30871761.759322386,31104867.799367953,31119991.045443933,31163540.676169552,31218992.62571746,31301349.42205594,31610250.55355772,31656170.115343656,31690787.593292896,32028542.025976256,359703435.4956857,2324410.109035484,350070738.3017963,355025260.2322074,357705979.6927315,357879897.0226052,358380717.7759499,359018415.19575083,359965518.35364336,363517881.3659138,364045956.3264521,364444057.3228683,368328233.2987269,0.9289073285268419,0.0016803181481374028,0.9160083947294112,0.9251660146205072,0.9265539242816817,0.9273225960604111,0.9279566161305814,0.9287699760712629,0.9303382523104201,0.9308393490532287,0.9312382990445639,0.9313608484460351,0.9314941585777848,29054937.5,203033.23888898094,28210000.0,28623200.0,28890000.0,28920000.0,28960000.0,28980000.0,29010000.0,29420000.0,29440000.0,29468100.0,29500000.0,334131781.25,2334882.247223281,324415000.0,329166800.0,332235000.0,332580000.0,333040000.0,333270000.0,333615000.0,338330000.0,338560000.0,338883150.0,339250000.0
3,cc-bftsmart,40432000.0,41204588.758968845,574212.2593425884,39534840.947172746,40131657.55464664,40164049.99742846,40197878.10944556,40893389.32091153,41481937.12159632,41575365.72361437,41708248.915147014,41937134.037164085,42147161.41921189,42771935.9219605,473852770.7281419,6603440.982439768,454650670.8924866,461514061.8784363,461886574.97042733,462275598.2586239,470273977.1904825,477042276.89835775,478116705.8215652,479644862.52419066,482277041.427387,484692356.32093674,491877263.1025458,0.9253983314979889,0.004208886527725657,0.9058161562437506,0.9106704704973724,0.9161332726494593,0.9199230138752772,0.924718678841095,0.9267689477657854,0.9281220562628834,0.9287160197928469,0.9290850887211558,0.9295226830672376,0.9299182360444197,38129906.25,505178.48698349926,36690000.0,37031900.0,37300000.0,37319000.0,37830000.0,38485000.0,38550000.0,38570000.0,38590000.0,38610000.0,38780000.0,438493921.875,5809552.600310241,421935000.0,425866850.0,428950000.0,429168500.0,435045000.0,442577500.0,443325000.0,443555000.0,443785000.0,444015000.0,445970000.0
4,cc-bftsmart,50432000.0,53617162.2584592,3178276.9667221038,50697720.258599944,51232112.544282556,51557796.69787447,51638048.747422285,52000811.121183954,52303925.251034185,52843188.56318124,60210422.356626004,60287826.867774144,64214796.45129507,66110089.438086204,616597365.9722811,36550185.11730419,583023782.9738994,589169294.2592494,592914662.0255563,593837560.5953563,598009327.8936155,601495140.386893,607696668.4765842,692419857.101199,693310008.9794027,738470159.1898932,760266028.5379914,0.8503691943978201,0.06789101338098169,0.48313351670644206,0.5014437417957398,0.754456854002553,0.7574962649707715,0.865516928749229,0.87561679298069,0.8823465210197569,0.8878904836957244,0.8905269398316271,0.8912484010615493,0.8922672210501745,45396000.0,2024355.631833975,31390000.0,32643099.999999996,44932500.0,45349000.0,45630000.0,45860000.0,45950000.0,45991000.0,46030000.0,46436600.0,46630000.0,522054000.0,23280089.766090713,360985000.0,375395649.99999994,516723750.0,521513500.0,524745000.0,527390000.0,528425000.0,528896500.0,529345000.0,534020900.0,536245000.0
5,cc-bftsmart,60432000.0,38785668.59051748,2119711.9891902576,36597970.07979665,36614180.180811584,36679020.58487133,36760071.08994601,36837760.89798627,38173755.53125262,40713999.92363057,41445021.16613195,42184519.63666317,42776118.41308815,42924018.107194394,446035188.790951,24376687.875687957,420876655.9176615,421063072.07933325,421808736.72602034,422740817.5343791,423634250.3268421,438998188.60940516,468210999.1217516,476617743.41051745,485121975.8216264,491925361.75051373,493626208.2327355,0.4859521115405367,0.04222978453154726,0.4249369188702033,0.4249673030954728,0.4250888399965507,0.42524076112289816,0.42859949974779926,0.5133784252470074,0.5168394507249582,0.5175010048764562,0.5176952773848439,0.5178506953915541,0.5178895498932317,18764444.444444444,819337.2811284212,17450000.0,17451600.0,17458000.0,17466000.0,18240000.0,19020000.0,19530000.0,19644000.0,19672000.0,19694400.0,19700000.0,215791111.1111111,9422378.732976845,200675000.0,200693400.0,200767000.0,200859000.0,209760000.0,218730000.0,224595000.0,225906000.0,226228000.0,226485600.0,226550000.0
